// 日本全国自治体公式サイトリスト（http://linkdata.org/work/rdf1s2022i）の1741件で実行
$ xargs -a sitelist.txt ./fetchall.exe
Get http://www2.city.kamagaya.chiba.jp/index.html: dial tcp: lookup www2.city.kamagaya.chiba.jp: no such host
Get http://www.cs.town.gojome.akita.jp/index.htm: dial tcp: lookup www.cs.town.gojome.akita.jp: no such host
Get http://www2.town.biratori.hokkaido.jp/biratori/: dial tcp: lookup www2.town.biratori.hokkaido.jp: no such host
Get http://www.town.erimo.hokkaido.jp/: dial tcp: lookup www.town.erimo.hokkaido.jp: no such host
Get http://www.city.kashiwazaki.niigata.jp/: dial tcp: lookup www.city.kashiwazaki.niigata.jp: no such host
Get http://www2.ocn.ne.jp/~asakawa/: dial tcp: lookup www2.ocn.ne.jp: no such host
Get http://ns.town.chippubetsu.hokkaido.jp/: dial tcp: lookup ns.town.chippubetsu.hokkaido.jp: no such host
Get http://www.sai.e-shimokita.jp/: dial tcp: lookup www.sai.e-shimokita.jp: no such host
Get http://www.teshiotown.com/: dial tcp: lookup www.teshiotown.com: no such host
Get http://www.town.miyashiro.saitama.jp/: dial tcp: lookup www.town.miyashiro.saitama.jp: no such host
Get http://www.town.rikubetsu.hokkaido.jp/: dial tcp: lookup www.town.rikubetsu.hokkaido.jp: no such host
Get http://www.city-kitaibaraki.jp/: dial tcp: lookup www.city-kitaibaraki.jp: no such host
Get http://www.town.ami.ibaraki.jp/: dial tcp: lookup www.town.ami.ibaraki.jp: no such host
1.01s   45109 http://town.kuriyama.hokkaido.jp/
1.03s   38057 http://www.city.iwamizawa.hokkaido.jp/
1.00s   36104 http://www.town.ogawa.saitama.jp/
1.00s   46441 http://www.city.saitama.jp/index.html
1.01s   27314 http://www.city.tamura.lg.jp/
1.01s   18740 http://www.town.atsuma.lg.jp/
1.02s   41863 http://www.town.yuza.yamagata.jp/
1.01s   20410 http://www.town.tomamae.lg.jp/
1.01s   47975 http://www.city.kashima.ibaraki.jp/
1.04s   41663 http://www.city.nagai.yamagata.jp/
1.04s   35111 http://www.city.tomisato.lg.jp/
1.05s   28834 http://www.city.asahi.lg.jp/
1.03s   10959 http://www.city.shiogama.miyagi.jp/
1.05s   27138 http://www.town.kutchan.hokkaido.jp/
1.02s   42042 http://www.tadami.gr.jp/
1.06s   44711 http://www.city.sunagawa.hokkaido.jp/
1.05s   27777 http://www.town.nanporo.hokkaido.jp/
1.05s   40000 http://www.city-yuzawa.jp/
1.04s   35789 http://www.niijima.com/
1.06s   23163 http://www.town.yamamoto.miyagi.jp/
1.07s   39295 http://www.town.tsubetsu.hokkaido.jp/
1.07s   31558 http://www.city.ichikawa.lg.jp/
1.05s   97928 http://www.city.himi.toyama.jp/
1.06s   44193 http://www.city.natori.miyagi.jp/
1.07s   56022 http://www.town.kanegasaki.iwate.jp/
1.06s   45881 http://www.town.yugawara.kanagawa.jp/
1.07s   26276 http://www.town.namie.fukushima.jp/
1.07s   17431 http://www.vill.tenei.fukushima.jp/
1.10s   32493 http://www.town.wakuya.miyagi.jp/
1.09s   32474 http://www.town.ashoro.hokkaido.jp/
1.11s   33251 http://www.vill.ohkura.yamagata.jp/
1.12s   37014 http://www.town.iwate.iwate.jp/
1.12s   58897 http://www.town.tsukigata.hokkaido.jp/
1.14s   29600 http://www.town.assabu.lg.jp/
1.12s   38825 http://www.kuriharacity.jp/
1.15s   23432 http://www.town.shiriuchi.hokkaido.jp/
1.13s   82004 http://www.city.shiraoka.lg.jp/
1.13s  233313 http://www.town.hirono.fukushima.jp/
1.13s   64991 http://www.town.tsubata.ishikawa.jp/
1.14s   33881 http://www.vill.ogasawara.tokyo.jp/
1.15s  119898 http://www.city.tsukubamirai.lg.jp/
1.15s   59441 http://www.town.shimogo.fukushima.jp/
1.16s   29868 http://www.town.yuzawa.lg.jp/
1.18s   34285 http://www.city.sumida.lg.jp/
1.20s   67861 http://www.town.nakayama.yamagata.jp/
1.22s   23997 http://www.town.setana.lg.jp/
1.20s   23666 http://www.vill.sakegawa.yamagata.jp/
1.21s   38799 http://www.town.kyowa.hokkaido.jp/
1.20s   54431 http://www.town.yuni.lg.jp/
1.20s   82020 http://www.city.itoigawa.lg.jp/
1.20s   31619 http://www.shihoro.jp/
1.21s   27885 http://www.town.bihoro.hokkaido.jp/
1.23s   37769 http://www.town.happou.akita.jp/
1.24s    4954 http://www.city.sodegaura.chiba.jp/
1.23s   22956 http://www.town.shirosato.lg.jp/
1.25s   41105 http://www.town.hirono.iwate.jp/
1.25s    4997 http://www.vill.fudai.iwate.jp/
1.25s   20050 http://www.town.horokanai.hokkaido.jp/
1.27s   17178 http://www.vill.kunohe.iwate.jp/
1.28s   46643 http://www.city.soma.fukushima.jp/
1.27s   28651 http://www.city.itabashi.tokyo.jp/
1.28s   70829 http://www.city.tono.iwate.jp/
1.28s   22794 http://www.town.kagamiishi.fukushima.jp/
1.28s    7918 http://www.city.ishioka.lg.jp/
1.30s   33983 http://www.city.futtsu.lg.jp/
1.30s   18976 http://www.vill.izumizaki.fukushima.jp/
1.32s   44159 http://www.town.hiraizumi.iwate.jp/
1.36s   19744 http://www.city.otaru.lg.jp/
1.36s   25415 http://www.city.nayoro.lg.jp/
1.36s  107858 http://www.city.oshu.iwate.jp/
1.35s   21508 http://www.town.yanaizu.fukushima.jp/
1.35s   11540 http://www.city.kamo.niigata.jp/
1.35s   28206 http://www.city.hitachiomiya.lg.jp/
1.36s   35423 http://www.city.ibaraki-koga.lg.jp/
1.36s   27943 http://www.city.kodaira.tokyo.jp/
1.36s   21239 http://www.town.yokoze.saitama.jp/
1.36s   43883 http://www.city.uonuma.niigata.jp/
1.38s   35160 http://www.town.shikama.miyagi.jp/
1.40s   25125 http://www.town.rankoshi.hokkaido.jp/
1.37s     202 http://www.city.fujimino.saitama.jp/
1.39s   31753 http://www.city.kitakata.fukushima.jp/
1.38s   18136 http://www.town.kawakita.ishikawa.jp/
1.38s   18444 http://www.town.sakai.ibaraki.jp/
1.40s   16262 http://www.vill.higashidoori.lg.jp/
1.39s   23209 http://www.vill.higashichichibu.saitama.jp/
1.41s   21994 http://www.town.fukaura.lg.jp/
1.41s   43497 http://www.city.kimitsu.lg.jp/
1.40s   26438 http://www.town.ono.fukushima.jp/
1.40s   33948 http://www.city.shimotsuma.lg.jp/
1.41s   90452 http://www.city.chichibu.lg.jp/
1.41s   34201 http://www.town.saitama-ina.lg.jp/
1.41s    3366 http://www.town.shiranuka.lg.jp/
1.42s   27393 http://www.town.hinode.tokyo.jp/
1.43s   17022 http://www.town.oizumi.gunma.jp/
1.43s   43752 http://www.city.musashimurayama.lg.jp/
